[2018-07-11 05:33:15,359][DEBUG][thread:4] ListSettingsInternal() method invoked in :557ms 1 requestId:9e5e15c5-15b8-4ac6-9c98-a7da6d602488 [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:33:15,366][DEBUG][thread:1] Settings loaded. Count:95 [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:33:15,403][DEBUG][thread:1] ListAllLanguage() method invoked in :34ms 1 requestId:74e3047c-83d0-4530-9815-7683a03586f1 [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:33:15,406][DEBUG][thread:1] Language cache loaded.. [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:33:15,407][INFO ][thread:1] ######  DeviceManager.Service STARTED!  ####### [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:33:19,113][DEBUG][thread:5] User: 0 URL=/ [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:33:23,696][DEBUG][thread:11] User: 0 URL=/ [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:33:24,411][DEBUG][thread:4] User: 0 URL=/api/values [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:33:24,987][DEBUG][thread:11] User: 0 URL=/api/values [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:33:28,752][DEBUG][thread:11] User: 0 URL=/api/js/json/config.js [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:33:32,590][DEBUG][thread:11] User: 0 URL=/api/system/listlanguage [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:33:33,904][DEBUG][thread:9] User: 0 URL=/api/device/listtemplate [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:33:34,044][DEBUG][thread:4] ListTemplate() method invoked in :64ms 0 requestId:0HLF6QQKT40RE:00000007 [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:33:35,001][DEBUG][thread:9] User: 0 URL=/api/device/listmodel [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:33:35,043][DEBUG][thread:4] ListModel() method invoked in :26ms 0 requestId:0HLF6QQKT40RE:00000009 [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:33:36,947][DEBUG][thread:11] User: 0 URL=/api/device/listproperty [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:33:36,991][DEBUG][thread:4] ListProperty() method invoked in :28ms 0 requestId:0HLF6QQKT40RE:0000000B [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:33:38,810][DEBUG][thread:11] User: 0 URL=/api/device/listproperty [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:33:38,831][DEBUG][thread:4] ListProperty() method invoked in :15ms 0 requestId:0HLF6QQKT40RE:0000000C [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:33:39,809][DEBUG][thread:4] User: 0 URL=/api/device/listmodel [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:33:39,831][DEBUG][thread:11] ListModel() method invoked in :15ms 0 requestId:0HLF6QQKT40RE:0000000D [Core.Framework.Middleware.LogMiddleware.?]
